SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,MonthlyIncome
0,0.9999998999999999,47,0,0.095747758,2,0,0,0,6913.0
1,0.270303561,50,0,0.258969861,14,0,2,0,25083.0
1,0.869989364,49,0,0.7781527309999999,11,0,2,0,8000.0
1,0.12330008199999999,65,0,0.350449974,10,0,2,0,11333.0
1,0.0,62,0,0.0,4,0,0,0,8125.0
1,0.960172681,56,2,0.7366932629999999,18,0,2,0,9900.0
1,0.0,75,0,0.096532334,4,0,1,0,3200.0
1,0.9315961859999999,59,0,0.678904011,10,0,2,0,5583.0
1,0.020321122,45,0,0.10380601199999999,8,0,1,0,16000.0
1,0.017927435,53,0,0.20097129,10,0,0,0,7000.0
1,0.0,41,1,0.141006098,9,0,0,0,6559.0
1,0.0,72,0,0.0,2,0,0,0,2700.0
1,0.08196127,49,0,0.293926518,11,0,1,0,4000.0
1,0.064155974,36,0,0.09454394,5,0,0,0,2400.0
1,0.9999998999999999,53,0,0.096390361,3,0,1,0,10000.0
1,0.550268995,42,5,0.10562748400000001,2,0,0,0,7800.0
1,0.11448012699999999,60,0,0.25107131899999996,12,0,2,0,13067.0
1,0.05474678400000001,49,1,0.267342669,16,0,2,0,12425.0
1,0.9999998999999999,44,0,0.315531519,7,0,2,0,11833.0
1,0.24254056300000001,39,0,0.409248715,12,0,2,0,7200.0
1,0.9999998999999999,81,0,0.0,1,0,0,0,10500.0
1,0.040755812,61,0,0.308422894,5,0,1,0,4000.0
1,0.878685762,50,0,0.217535065,13,0,1,0,18750.0
1,0.06232264,54,0,1.0103191740000002,10,0,4,0,4166.0
1,0.288460179,38,2,0.313230414,15,0,2,1,6930.0
1,0.06551757,69,2,0.054301962999999995,4,0,1,0,5450.0
1,0.9999998999999999,26,0,0.266841228,4,0,0,0,4200.0
0,0.9670825590000001,49,0,0.520342834,17,0,2,1,9683.0
1,0.212893553,41,0,0.118631032,5,0,0,0,5200.0
1,0.009055089,48,0,0.329778726,8,0,2,0,3750.0
1,0.024581466,61,0,0.082669323,12,0,0,0,4015.0
1,0.9844390759999999,69,1,0.29877177899999996,10,0,0,0,3500.0
1,0.012204793,72,0,0.441327539,12,0,2,0,2530.0
1,0.002077313,57,0,0.309446037,16,0,2,0,15000.0
1,0.9999998999999999,36,0,0.17193122800000002,1,2,0,0,2500.0
1,0.983350416,72,0,0.311530555,5,0,0,0,5350.0
1,0.011427661,58,0,1256.0,13,0,1,0,0.5
1,4.28e-05,66,2,1196.0,9,0,1,0,0.2
1,0.6658551429999999,31,0,0.20711327,6,0,1,0,7000.0
1,0.057850822,77,0,0.020395921,8,0,0,0,6667.0
1,0.371832627,52,0,1864.0,9,0,2,0,0.2
1,0.050359793,61,0,0.659336265,15,0,1,0,2500.0
1,0.714958925,41,0,0.077904011,7,0,0,0,8625.0
1,0.738291367,43,0,0.35817612200000004,12,0,1,0,15000.0
1,0.0,52,0,2958.0,8,0,2,0,0.2
1,0.9999998999999999,38,0,0.35554815100000003,3,0,1,0,3000.0
1,0.07127101599999999,39,0,0.568250481,10,0,2,0,3640.0
1,0.5556761370000001,56,0,0.24419163600000002,4,0,1,0,6240.0
1,0.17080254399999997,42,0,0.056194380999999995,4,0,0,0,10000.0
1,0.9999998999999999,62,2,0.39730153,4,0,2,0,8300.0
1,0.9999998999999999,21,0,17.0,0,0,0,0,20.3
1,0.40267958299999995,42,0,0.9707971590000001,9,0,1,0,3800.0
1,0.976835335,52,0,0.21619595100000003,7,0,0,0,4000.0
1,0.037423225,35,0,0.684139422,5,0,1,2,3700.0
1,0.104501579,65,0,0.723736823,17,0,3,0,11003.0
1,0.0,77,0,0.00017999599999999998,4,0,0,0,16666.0
1,0.08131978,40,2,0.30123955,6,0,2,0,6937.0
1,0.153656009,36,0,0.421372106,17,0,1,0,7083.0
1,0.7623534820000001,30,0,0.318875697,6,0,1,0,4126.0
1,0.029932728,62,0,0.469823404,16,0,1,0,5152.0
1,0.588393399,31,0,0.37469515200000003,7,0,1,0,10250.0
1,0.11602912900000001,35,0,0.6248459120000001,13,0,3,0,7300.0
1,0.0012599010000000001,46,0,0.257060174,21,0,1,0,10020.0
1,0.0,74,0,321.0,5,0,0,0,0.1
1,0.141742913,45,0,85.0,4,0,0,0,0.5
1,0.032847247,63,0,0.881271543,10,0,2,0,2610.0
1,0.70216223,58,0,0.008529496,3,0,0,0,20985.0
1,0.179029852,50,0,0.559906682,19,0,2,0,6000.0
1,0.068491439,35,2,947.0,4,0,2,0,0.5
1,0.385179073,36,0,0.505884804,9,0,5,0,9600.0
1,0.781459791,55,0,0.077640534,3,0,1,0,11900.0
1,0.740060481,48,0,2435.0,15,0,2,0,1.0
1,0.9999998999999999,33,0,0.467508181,3,0,2,0,6416.0
0,0.578269597,61,0,0.203479178,13,0,2,0,5690.0
1,0.492405816,57,0,1588.0,10,0,1,0,0.6
1,0.6827072279999999,65,0,2053.0,12,0,1,0,0.1
1,0.076728218,85,0,1535.0,5,0,1,0,0.0
1,0.01529284,65,0,25.0,3,0,0,0,0.0
1,0.051168885,45,0,0.004887803,1,0,0,0,4500.0
1,1.078575576,58,1,0.510962822,4,0,1,0,4195.0
1,0.9999998999999999,62,1,363.0,1,1,0,0,0.1
1,0.02189781,27,0,0.001737619,1,0,0,0,3452.0
1,0.397507884,39,0,0.021880293999999998,1,0,0,0,7083.0
1,0.118845933,28,1,0.048410861,6,0,0,0,4750.0
1,0.103094845,59,0,6.466777409,6,0,3,0,601.0
1,0.041233365,44,0,0.50354481,6,0,2,0,5500.0
1,0.064880543,69,0,25.0,3,0,0,0,0.5
1,0.646703322,48,0,3189.0,11,0,3,0,0.0
1,0.09907597,62,0,0.234635117,8,0,2,0,9550.0
1,0.12199884400000001,58,0,0.30349058,11,0,2,0,6846.0
1,0.9999998999999999,31,0,0.146189736,5,0,0,0,4500.0
1,0.242585805,28,3,0.43140442100000004,7,0,1,0,3075.0
0,0.701880732,44,1,0.474180416,8,1,1,0,4666.0
1,0.002705853,66,0,0.620951967,14,0,2,0,4600.0
1,0.208327546,43,1,0.476452119,14,0,2,0,8917.0
1,0.000579682,58,0,0.0,5,0,0,0,8432.2
1,0.060104329000000005,47,0,0.16357819,15,0,1,0,7500.0
1,0.896475991,46,0,0.574907273,13,0,2,0,6200.0
1,0.45165471799999996,56,0,0.346449316,11,0,1,0,5336.0
1,0.029405676000000002,83,0,0.28023992,20,0,1,1,3000.0
1,0.026805238,33,0,0.149406975,6,0,0,0,5648.0
1,0.21372306600000002,62,0,0.188681028,17,0,1,0,10583.0
1,0.002644698,63,0,0.141547755,21,0,1,0,9600.0
0,0.39046659899999997,49,0,6626.0,20,0,4,0,0.2
1,0.462224495,57,0,0.376815516,19,0,1,0,11084.0
1,0.061523500999999994,81,0,32.0,10,0,0,0,224.7
1,0.89679084,29,2,0.071428571,2,0,0,1,2323.0
1,0.035911482,54,0,0.002999625,3,0,0,0,8000.0
1,0.487782139,53,0,0.26171187,9,0,3,0,17033.0
1,0.075781817,74,0,0.25624716,10,0,0,0,2200.0
1,0.135107358,77,0,0.398387362,3,0,1,0,6076.0
1,0.139167862,66,0,96.0,3,0,0,0,0.3
1,0.029666788,75,0,0.13447044800000002,5,0,0,0,5041.0
1,0.0,85,0,2.0,5,0,0,0,297.5
1,0.149911545,37,0,0.662933931,5,0,1,0,6250.0
1,0.056672217999999996,43,0,4197.0,6,0,2,0,0.0
1,0.9999998999999999,25,0,0.279016141,3,0,0,0,1300.0
1,0.828632631,24,0,0.038312049,4,0,0,0,1800.0
1,0.0074593590000000005,61,0,0.332266756,19,0,2,0,11875.0
0,0.9999998999999999,39,0,0.37881385,2,0,1,0,5833.0
1,0.037527739,75,0,392.0,12,0,0,0,0.3
1,0.539846015,50,2,0.543845032,11,0,3,0,4800.0
0,0.040223614,57,0,2945.0,10,0,1,0,0.0
1,0.187503208,69,0,0.97392013,8,0,1,0,3680.0
1,0.01635059,45,0,0.202830801,8,0,1,0,7700.0
1,0.300739201,41,0,0.33604527799999995,10,0,1,0,5653.0
1,0.039462759,47,0,0.19019049,10,0,1,0,6666.0
1,0.272357867,41,0,2031.0,6,0,1,0,0.0
1,0.736622023,25,0,0.335207748,10,0,0,0,3200.0
1,0.295480053,32,0,0.502677165,5,0,1,0,3174.0
1,0.042073687,59,0,1379.0,4,0,1,0,0.0
1,0.035992801,25,0,0.20991603399999997,4,0,0,0,2500.0
1,0.0,56,0,1543.0,3,0,1,0,0.3
1,0.026867767999999997,54,0,0.403349855,14,0,1,0,5850.0
1,0.0,45,0,0.49724022100000004,18,0,12,0,12500.0
1,0.088696944,52,0,0.096390361,5,0,0,0,10000.0
1,0.017262552,63,0,0.460890961,12,0,2,0,7721.0
0,0.598283476,44,0,0.45709571,15,0,0,0,3029.0
1,0.08798743,65,0,0.17594972899999997,5,0,2,0,7001.0
1,0.616566011,49,0,1.210438645,13,0,2,0,1800.0
1,0.20110565800000002,48,0,0.18833612,7,0,0,0,4783.0
1,0.0,44,0,0.002707769,9,0,1,0,4800.0
1,0.100764386,41,0,0.39351798600000004,8,0,2,0,8700.0
1,0.9999998999999999,49,1,0.447248655,7,0,1,3,7250.0
1,0.658147843,35,0,0.17607114,5,0,0,0,6184.0
1,0.08983083800000001,74,0,0.027993002000000003,6,0,0,0,4000.0
1,0.037240646,66,0,0.45384826100000003,5,0,2,0,3650.0
1,0.8391071840000001,26,1,0.298350825,3,0,0,0,2000.0
1,0.019886834,89,0,2852.0,6,0,2,0,0.4
1,0.0,67,0,0.0,1,0,0,0,1600.0
1,0.037222605,70,0,0.016557326,6,0,0,0,3200.0
0,0.9999998999999999,37,1,0.0,0,1,0,0,3831.0
1,0.74939676,63,0,116.0,2,0,0,0,0.3
1,0.02980549,79,0,27.0,4,0,0,0,0.0
1,0.42168819,76,0,0.24882792199999998,9,0,1,0,5758.0
1,0.35020433799999995,47,0,787.0,13,0,0,0,0.0
1,0.0,66,0,1525.0,5,0,1,0,0.0
1,0.0,69,0,0.20034995600000002,11,0,1,0,8000.0
1,0.079457795,51,0,0.022517321,8,0,0,0,3463.0
0,0.603218624,47,2,0.45364057799999996,11,1,2,4,7333.0
1,0.09627426900000001,51,0,0.337587839,12,0,1,0,6972.0
1,0.9999998999999999,65,0,0.314910766,2,0,1,0,3473.0
1,0.0,62,0,6.0,4,0,0,0,160.4
0,0.039865824,57,3,0.070738121,15,0,0,0,27000.0
1,0.011607861,59,0,2487.0,12,0,2,0,0.0
1,0.797721515,50,0,0.476196215,13,0,0,0,8296.0
1,0.011116173,76,0,28.0,5,0,0,0,0.0
1,0.364989591,67,0,0.301548592,19,0,2,0,8200.0
1,0.222643588,40,0,0.050082602000000004,4,0,1,0,11500.0
1,0.070230866,51,0,0.40255345299999995,10,0,1,0,6500.0
1,0.55333636,42,0,0.20486308399999997,8,0,0,0,8800.0
1,0.027251103,52,0,0.276022139,7,0,1,0,5600.0
1,0.5262016620000001,54,4,0.343546258,9,0,3,0,25000.0
1,0.011931648999999999,75,0,1763.0,20,0,2,0,0.4
1,0.005550513000000001,59,0,0.136094465,5,0,2,0,28200.0
1,0.0,70,0,140.0,7,0,0,0,0.1
1,0.049654924,41,0,0.130486951,9,0,1,0,10000.0
1,0.967508123,47,0,0.29361773,7,0,1,0,6000.0
0,0.410443155,52,0,0.19177892,4,9,0,1,7200.0
1,0.504845408,45,0,2465.0,8,0,1,0,0.0
1,0.7013740629999999,45,0,0.9380849529999999,8,0,2,0,4166.0
1,0.026457832,75,0,40.0,5,0,0,0,0.0
1,0.9999998999999999,45,0,0.278144371,6,0,1,0,5000.0
0,0.9570047770000001,34,0,0.645544307,11,0,1,0,8000.0
0,0.43032778299999996,65,0,0.416902471,7,0,1,0,5300.0
1,0.9999998999999999,33,0,0.122219445,1,1,0,0,4000.0
1,0.01373489,45,0,0.480128894,5,0,2,0,6516.0
1,0.005199913,80,0,1114.0,5,0,1,0,0.2
1,0.105178964,68,0,1956.0,4,0,1,0,0.0
1,0.8424365859999999,31,0,0.24854302399999997,8,0,0,0,2916.0
1,0.9999998999999999,43,1,0.291835277,3,1,0,0,4200.0
1,0.25230671600000004,53,0,0.35641641,16,0,2,0,8750.0
1,0.285829489,69,0,0.6840239309999999,7,0,2,0,4512.0
1,0.8381221390000001,41,0,0.527705061,6,0,1,0,4583.0
1,0.37691033700000004,72,0,0.932553957,11,0,1,0,1111.0
1,0.015602227,57,1,1.062387522,21,0,1,0,1666.0
1,0.452493855,63,0,0.400732255,12,0,2,0,16933.0
1,0.350161799,51,1,2636.0,18,0,2,0,0.2
1,0.013564297,62,0,0.23006416100000002,8,0,2,0,12000.0
1,0.054385011,71,0,0.10505723800000001,13,0,0,0,6900.0
1,0.066423827,37,0,0.335184979,5,0,1,0,9000.0
1,0.914236547,75,0,0.119375433,5,0,1,0,13000.0
1,0.0,48,0,0.25142691300000003,8,0,2,0,10336.0
1,0.041201912,77,0,0.11904761900000001,7,0,0,0,1553.0
1,0.007940437,46,0,0.38640151100000003,9,0,1,0,9000.0
1,0.134127256,40,0,0.29468896,10,0,1,0,8133.0
1,0.0,52,0,0.36297384299999996,13,0,4,0,17700.0
1,0.105749356,59,0,0.251958117,10,0,2,0,12128.0
1,0.00049975,27,0,150.0,2,0,0,0,0.2
1,0.008332639000000001,28,0,0.034055728,6,0,0,0,6459.0
1,0.625354147,49,0,2269.0,8,0,1,0,0.0
1,0.016859493,59,0,14.0,2,0,0,0,0.3
1,0.22550045,54,0,0.412764539,8,0,1,0,6000.0
0,0.32658292699999997,30,0,0.34895638,12,2,0,0,8000.0
1,0.0,36,0,0.33116001100000003,4,0,1,0,3680.0
1,0.316938051,34,0,0.421629021,19,0,2,0,5843.0
1,0.9999998999999999,21,0,0.0,0,0,0,0,0.0
1,0.058533474,53,0,0.571972758,10,0,3,0,8662.0
0,1.003997335,63,2,1.21627566,6,1,1,0,1363.0
1,0.0,59,0,1945.0,6,0,3,0,0.3
1,0.09259074099999999,48,0,0.135318298,3,0,0,0,9000.0
1,0.087227549,88,0,0.01617321,12,0,0,0,7666.0
1,0.060352909,68,0,0.474381405,12,0,2,0,4000.0
1,0.17643545600000002,48,0,0.317543442,16,0,1,0,4200.0
1,0.8491141329999999,43,0,0.278439679,15,0,0,0,11330.0
1,0.389259189,29,0,0.079900125,3,0,0,0,800.0
1,0.210100855,58,0,0.09606587400000001,8,0,0,0,7650.0
1,0.9999998999999999,43,0,4095.0,2,0,1,0,0.0
1,0.0032579590000000004,81,0,0.000676743,7,0,0,0,4432.0
1,0.16717180199999998,61,0,0.126857749,12,0,1,0,5651.0
1,0.9999998999999999,45,1,1.04611837,5,0,1,0,1300.0
1,0.103609238,46,0,0.072985403,8,0,0,0,5000.0
1,0.034473464,76,0,37.0,6,0,0,0,140.0
1,0.08456797699999999,63,0,0.185737094,4,0,1,0,3757.0
1,0.9999998999999999,33,2,0.429633494,5,0,2,0,7666.0
1,0.019765504,37,1,0.235550709,11,1,1,0,2750.0
1,0.051504055,64,0,0.7516059959999999,5,0,1,0,1400.0
1,0.008589882,51,0,2520.0,9,0,1,1,0.1
1,0.0,61,0,0.23522675199999998,8,0,2,0,8731.0
1,0.558331149,52,0,0.19675484,10,0,0,0,7333.0
1,0.02286807,83,0,34.0,8,0,0,0,0.1
1,0.21287399399999998,35,0,0.432552041,11,0,2,0,6100.0
1,0.23884707800000002,65,0,0.275171982,9,0,1,0,6395.0
0,0.31003194300000003,57,3,0.5305034129999999,17,0,1,0,4687.0
1,0.017292999,76,0,0.002285497,9,0,0,0,10500.0
1,0.433120529,58,0,0.02480898,4,0,0,0,10600.0
1,0.15461512800000002,40,0,0.077141383,1,0,0,0,3875.0
1,0.369232503,57,0,0.590996352,11,0,4,0,10417.0
1,0.18265764,43,0,0.529195329,14,0,2,0,6250.0
1,0.311539364,60,0,0.352778291,18,0,1,0,10833.0
1,0.035008788,63,0,0.507097792,29,0,0,0,1267.0
1,0.8415434959999999,52,1,0.548414665,10,0,2,0,11700.0
1,0.9442569679999999,46,0,0.319983399,7,0,1,0,4818.0
1,0.9999998999999999,66,0,579.0,8,0,0,0,0.0
1,0.6122739389999999,89,0,0.672580023,11,0,0,0,2592.0
1,0.108894555,58,1,65.0,2,0,0,0,1445.2
1,0.146068315,26,0,392.0,8,0,0,0,0.3
0,0.065893411,34,0,4127.0,5,0,3,0,0.4
1,0.340432978,53,0,0.318719354,5,0,0,0,3466.0
1,0.049247538,46,0,0.293100986,3,0,1,0,7000.0
1,0.17485745,67,0,0.106,12,1,2,0,12499.0
1,0.61479815,33,0,0.41533613399999997,6,0,1,0,4759.0
1,0.055954427,49,0,0.049983339,11,0,0,0,3000.0
1,0.042875872999999995,50,0,0.320498202,8,0,1,1,11400.0
1,0.46150349700000004,62,0,0.495378052,12,0,1,0,8437.0
1,0.328235909,60,0,0.469087494,18,0,2,0,6388.0
1,0.005427021,47,0,0.45175804,8,0,2,0,6000.0
1,0.081783643,48,0,0.348660391,7,0,1,0,2761.0
1,0.04277327400000001,64,0,657.0,10,0,1,0,0.5
1,0.49651613899999997,53,0,0.543024698,13,0,2,0,8866.0
1,0.09583299099999999,55,0,0.9726703109999999,9,0,3,0,7500.0
1,0.5971445670000001,56,0,0.311964323,15,0,2,0,14350.0
1,0.135917282,53,0,0.19048095199999998,3,0,1,0,10000.0
1,0.194225595,28,0,0.039826696,3,0,0,0,6000.0
1,0.049798008,79,0,52.0,9,0,0,0,0.2
0,0.9999998999999999,27,1,0.166797797,1,0,0,0,2541.0
1,0.9999998999999999,49,0,1.218227425,10,0,2,0,7175.0
1,0.144927823,56,0,0.11169557,8,0,1,0,12166.0
1,0.0,68,1,0.106524805,6,0,1,0,7800.0
0,0.9999998999999999,46,4,0.43447076700000004,7,2,1,1,4600.0
1,0.01273241,79,1,0.298349057,9,0,1,0,4239.0
1,0.08511853800000001,34,0,0.132644559,3,0,1,0,6000.0
1,0.076144188,51,1,0.163426926,6,0,1,0,8333.0
1,0.156339456,53,0,0.213527009,10,0,1,0,11014.0
1,0.738260955,34,0,0.151169424,2,0,0,0,1752.0
1,0.009278799,59,1,2066.0,6,0,1,0,0.0
1,0.0,44,0,712.0,5,0,1,0,0.9
1,0.0,47,0,0.334071777,5,0,0,0,2256.0
1,0.011772331,79,0,0.009996002,7,0,0,0,2500.0
1,0.009005753,57,0,1361.0,7,0,1,0,0.2
1,0.885682575,41,3,0.09793686300000001,4,1,0,0,4022.0
1,0.066199547,44,0,0.77967298,8,0,2,0,8500.0
1,0.315179742,40,0,0.071100578,15,0,0,0,6750.0
1,0.021551595,41,0,0.676718547,7,0,2,0,3083.0
1,0.31797894600000004,64,0,0.321355987,12,0,2,0,12300.0
1,0.030700985,63,0,36.0,2,0,0,0,0.0
1,0.042226159000000006,62,0,0.570714643,8,0,1,0,2000.0
1,0.328667333,24,0,0.235105958,5,0,0,0,2500.0
1,0.835418953,52,0,0.31530705800000003,6,0,1,0,12000.0
1,0.001705782,54,0,1409.0,4,0,2,0,0.8
1,0.034632327000000004,73,0,0.306995698,11,0,1,0,4416.0
1,0.547909003,51,0,0.39354207399999996,6,0,2,0,5109.0
1,0.0,50,0,3089.0,6,0,3,0,0.2
1,0.562587786,47,0,2595.0,14,0,1,0,0.1
